task_id,prompt,input_generator,input_levels,reference_solution,checker,entry_point
HumanEval/10,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0:
        if cid == 0:
            input_string = []
        elif cid == 1:
            half_string = list(random.choices(string.ascii_lowercase, k = (size + 2) // 3))
            input_string = half_string + ([] if random.randint(0, 1) else [random.choice(string.ascii_lowercase)]) + half_string[:: -1]
        else:
            input_string = random.choices(string.ascii_lowercase, k=size)
    else:
        a = random.choice(string.ascii_lowercase[: -1])
        b = chr(ord(a) + 1)
        input_string = [a for i in range(size)]
        input_string[int(size * 0.75)] = b
    return ''.join(input_string),
",100 1000 10000 15000,"    if not string:
        return string
    #assert '\x00' not in string
    reversed_s = string[:: -1]
    pattern = reversed_s + '\x00' + string
    # KMP
    m = len(pattern)
    fail = [0] * (m + 1)
    j = 0
    for i in range(1, m):
        c = pattern[i]
        while j > 0 and pattern[j] != c:
            j = fail[j]
        if j > 0 or pattern[0] == c:
            j += 1
        fail[i + 1] = j
    return string[: len(string) - fail[-1]] + reversed_s
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",make_palindrome
HumanEval/11,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    return tuple(''.join(random.choice('01') for _ in range(size)) for _ in range(2))
",100 10000 20000 40000,"    return bin(int(a, 2) ^ int(b, 2))[2:].zfill(len(a))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",string_xor
HumanEval/12,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import math
    m = int(math.log(size + 1))
    input_strings = []
    for _ in range((size + m - 1) // m):
        random_length = random.randint(1, m)
        random_string = ''.join(random.choice('abcdefghijklmnopqrstuvwxyz') for _ in range(random_length))
        input_strings.append(random_string)
    return input_strings,
",10 30000 45000 90000,"    if strings:
        return max(strings, key = len)
    else:
        return None
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",longest
HumanEval/13,"def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0:
        if cid < 4:
            a = random.randint((size + 1) // 2, size)
            return [(0, a), (a, 0), (5, 3), (35, 21)][cid]
        else:
            m = int(size ** .5) + 1
            d = rand_probably_prime(m)
            return d * random.randint((size + 1) // 2, size), d * random.randint((size + 1) // 2, size)
    else:
        a, b = 2, 1
        while a < size:
            a, b = b, a + b
        for i in range(cid):
            a, b = b, a + b
        if cid % 2:
            return a, b
        else:
            return b, a
",20 1000 1000000 1000000000,"    while b:
        a, b = b, a % b
    return a
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",greatest_common_divisor
HumanEval/14,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    return ''.join(random.choice(string.ascii_lowercase) for _ in range(size)),
",10 600 750 900,"    return [string[: i] for i in range(1, len(string) + 1)]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",all_prefixes
HumanEval/15,"def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    return random.randint((size + 1) // 2, size),
",100 10000 15000 30000,"    return ' '.join(map(str, range(n + 1)))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",string_sequence
HumanEval/16,"def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    return ''.join(random.choice(string.ascii_letters) for _ in range(size)),
",100 10000 15000 30000,"    return len(set(string.lower()))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",count_distinct_characters
HumanEval/17,"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    notes = ['o', 'o|', '.|']
    music_string = ' '.join(random.choice(notes) for _ in range(size))
    return music_string,
",100 10000 15000 30000,"    notes = {'o': 4, 'o|': 2, '.|': 1}
    return list(map(notes.get, music_string.split()))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",parse_music
HumanEval/18,"def how_many_times(string: str, substring: str) -> int:
    """""" Find how many times a given substring can be found in the original string. Count overlaping cases.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0:
        if cid < 3:
            return [('baaaaaaaaa', 'aaa'), ('ababababab', 'aba'), ('abbabaabbaababba', 'bba')][cid]
        else:
            c = random.choice(string.ascii_letters)
            original_string = c * (size // 2) + ''.join(random.choice(string.ascii_letters) for _ in range(2 + cid % 2)) + c * (size // 2)
            substring = c * ((size + 1) // 4)
            return original_string, substring
    else:
        c = random.choice(string.ascii_letters)
        return c * size, c * ((size + 1) // 2)
",100 50000 100000 150000,"    n = len(string)
    m = len(substring)
    if n <= 55000:
        cnt = 0
        for i in range(n - m + 1):
            if string.startswith(substring, i):
                cnt += 1
    else:
        # KMP preprocessing
        fail = [0] * (m + 1)
        j = 0
        for i in range(1, m):
            c = substring[i]
            while j > 0 and substring[j] != c:
                j = table[j]
            if j > 0 or substring[0] == c:
                j += 1
            fail[i + 1] = j
        # KMP matching
        cnt = 0
        j = 0
        for i in range(n):
            c = string[i]
            while j > 0 and substring[j] != c:
                j = fail[j]
            if j > 0 or substring[0] == c:
                j += 1
            if j == m:
                cnt += 1
                j = fail[j]
    return cnt
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",how_many_times
HumanEval/19,"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    numerals = ['zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight', 'nine']
    input_string = ' '.join(random.choice(numerals) for _ in range(size))
    return input_string,
",100 10000 15000 30000,"    from collections import Counter
    cnt = Counter(numbers.split())
    return (""zero "" * (cnt[""zero""] if ""zero"" in cnt else 0) + ""one "" * (cnt[""one""] if ""one"" in cnt else 0) + ""two "" * (cnt[""two""] if ""two"" in cnt else 0) + ""three "" * (cnt[""three""] if ""three"" in cnt else 0) + ""four "" * (cnt[""four""] if ""four"" in cnt else 0) + ""five "" * (cnt[""five""] if ""five"" in cnt else 0) + ""six "" * (cnt[""six""] if ""six"" in cnt else 0) + ""seven "" * (cnt[""seven""] if ""seven"" in cnt else 0) + ""eight "" * (cnt[""eight""] if ""eight"" in cnt else 0) + ""nine "" * (cnt[""nine""] if ""nine"" in cnt else 0)).strip(' ')
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",sort_numbers
HumanEval/20,"from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    """""" From a supplied list of numbers (of length at least two) select and return two that are the closest to each
    other and return them in order (smaller number, larger number).
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    (2.0, 2.2)
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    (2.0, 2.0)
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    input_numbers = [random.uniform(0., 1.) for _ in range(size)]
    return input_numbers,
",20 100 10000 15000,"    numbers.sort()
    min_diff = float(""inf"")
    min_pair = None
    for l, r in zip(numbers[:-1], numbers[1:]):
        diff = r - l
        if diff < min_diff:
            min_diff = diff
            min_pair = (l, r)
    return min_pair
","def __check(input, answer, output):
    return type(output) == tuple and len(output) == len(answer) and all(type(b) in (int, float) for b in output) and max(abs(a - b) for a, b in zip(answer, output)) < 1e-4
",find_closest_elements
HumanEval/21,"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    input_numbers = [random.uniform(0., 1.) for _ in range(size)]
    mi, ma = min(input_numbers), max(input_numbers)
    if mi == ma:
        while True:
            x = random.uniform(0., 1.)
            if x != mi:
                break
        input_numbers.append(x)
    return input_numbers,
",100 10000 15000 30000,"    mi = min(numbers)
    k = 1. / (max(numbers) - mi)
    return [(x - mi) * k for x in numbers]
","def __check(input, answer, output):
    return type(output) == list and len(output) == len(answer) and all(type(b) in (int, float) for b in output) and max(abs(a - b) for a, b in zip(answer, output)) < 1e-4
",rescale_to_unit
HumanEval/22,"from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid < 2:
        return [['a', 3.14, 5], [1, 2, 3, 'abc', {}, []]][cid],
    input_data = []
    for _ in range(size):
        random_type = random.choice([int, float, str, bool])
        if random_type == int:
            value = random.randint(-1000000000, 1000000000)
        elif random_type == float:
            value = random.uniform(-1000000000., 1000000000.)
            if value % 1. == 0:
                value += 1e-5
        elif random_type == str:
            value = ''.join(random.choices('abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', k = random.randint(1, 3)))
        else:
            value = random.choice([None, True, False, list(), dict(), set()])
        input_data.append(value)
    return input_data,
",100 10000 15000 30000,"    return [x for x in values if type(x) is int]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",filter_integers
HumanEval/23,"def strlen(string: str) -> int:
    """""" Return length of given string
    >>> strlen('')
    0
    >>> strlen('abc')
    3
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    random_string = ''.join(random.choice(string.ascii_letters) for _ in range(size))
    return random_string,
",100 1000 1000 1000,"    return len(string)
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",strlen
HumanEval/24,"def largest_divisor(n: int) -> int:
    """""" For a given number n, find the largest number that divides n evenly, smaller than n
    >>> largest_divisor(15)
    5
    """"""","def generate_input(size: int, lid: int, cid: int):
    return rand_primality(size, lid, cid),
",100 10000 500000000 1000000000,"    if n % 2 == 0:
        return n // 2
    if n % 3 == 0:
        return n // 3
    import math
    for i in range(5, math.isqrt(n) + 1, 6):
        if n % i == 0:
            return n // i
        i += 2
        if n % i == 0:
            return n // i
    return 1
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",largest_divisor
HumanEval/25,"from typing import List


def factorize(n: int) -> List[int]:
    """""" Return list of prime factors of given integer in the order from smallest to largest.
    Each of the factors should be listed number of times corresponding to how many times it appeares in factorization.
    Input number should be equal to the product of all factors
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""","def generate_input(size: int, lid: int, cid: int):
    return rand_primality(size, lid, cid),
",100 10000 500000000 1000000000,"    ans = []
    while n % 2 == 0:
        n //= 2
        ans.append(2)
    while n % 3 == 0:
        n //= 3
        ans.append(3)
    import math
    for i in range(5, math.isqrt(n) + 1, 6):
        if i * i > n:
            break
        while n % i == 0:
            n //= i
            ans.append(i)
        i += 2
        while n % i == 0:
            n //= i
            ans.append(i)
    if n > 1:
        ans.append(n)
    return ans
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",factorize
HumanEval/26,"from typing import List


def remove_duplicates(numbers: List[int]) -> List[int]:
    """""" From a list of integers, remove all elements that occur more than once.
    Keep order of elements left the same as in the input.
    >>> remove_duplicates([1, 2, 3, 2, 4])
    [1, 3, 4]
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        return [3, 2, 1, 2, 4],
    else:
        input_data = []
        while len(input_data) < size:
            input_data.extend([random.randint(-1000000000, 1000000000)] * random.randint(1, min(3, size - len(input_data))))
        random.shuffle(input_data)
        return input_data,
",100 100 5000 20000,"    import collections
    cnt = collections.Counter(numbers) # Counter preserves the order of elements
    return [n for n, c in cnt.items() if c == 1]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",remove_duplicates
HumanEval/27,"def flip_case(string: str) -> str:
    """""" For a given string, flip lowercase characters to uppercase and uppercase to lowercase.
    >>> flip_case('Hello')
    'hELLO'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    random_string = ''.join(random.choice(string.ascii_letters) for _ in range(size))
    return random_string,
",100 10000 20000 40000,"    return string.swapcase()
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",flip_case
HumanEval/28,"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" Concatenate list of strings into a single string
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    if lid == 0 and cid == 0:
        input_data = []
    else:
        input_data = [''.join(random.choice(string.ascii_letters) for _ in range(random.randint(1, 10))) for _ in range(size)]
    return input_data,
",100 1000 10000 15000,"    return ''.join(strings)
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",concatenate
HumanEval/29,"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Filter an input list of strings only for ones that start with a given prefix.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    input_data = []
    sub_length = 10
    target = ''.join(random.choice(string.ascii_letters) for _ in range(sub_length))
    if lid > 0 or cid > 0:
        for _ in range(size):
            if random.randint(0, 1):
                prefix = target
            else:
                i = random.randint(0, sub_length - 1)
                prefix = target[: i] + random.choice(string.ascii_letters) + target[i + 1 :]
            input_data.append(prefix + ''.join(random.choice(string.ascii_letters) for _ in range(sub_length)))
    return input_data, target
",100 10000 15000 30000,"    return [x for x in strings if x.startswith(prefix)]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",filter_by_prefix
HumanEval/30,"def get_positive(l: list):
    """"""Return only positive numbers in the list.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""","def generate_input(size: int, lid: int, cid: int):
    l = [0] + [random.randint(-size * size, size * size) for _ in range(size)]
    random.shuffle(l)
    return l,
",100 10000 15000 30000,"    return [e for e in l if e > 0]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",get_positive
HumanEval/31,"def is_prime(n):
    """"""Return true if a given number is prime, and false otherwise.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    return rand_primality(size, lid, cid),
",100 10000 500000000 1000000000,"    if n <= 1:
        return False
    elif n % 2 == 0:
        return n == 2
    elif n % 3 == 0:
        return n == 3
    else:
        import math
        for i in range(5, math.isqrt(n) + 1, 6):
            if n % i == 0 or n % (i + 2) == 0:
                return False
        return True
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",is_prime
HumanEval/32,"import math


def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])


def find_zero(xs: list):
    """""" xs are coefficients of a polynomial.
    find_zero find x such that poly(x) = 0.
    find_zero returns only only zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non zero coefficient as it guarantees
    a solution.
    >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x
    -0.5
    >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3
    1.0
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    size += size % 2
    if size == 20: # hard case
        coefs = [91311625733/337483077750, -54772408813/97692469875, 10931526124/10854718875, -1438598027/3831077250, 344532533/1915538625, -476755771/5108103000, 17170963/547296750, -18359647/2357586000, 1280459/785862000, -1477249/5143824000, 52979/1285956000, -5489/1143072000, 8677/18860688000, -10099/280215936000, 367/163459296000, -419/3923023104000, 29/7846046208000, -31/355687428096000, 1/800296713216000, -1/121645100408832000]
        assert len(coefs) == size
        a = random.uniform(0.9, 1.1)
        c = 1.
        for i in range(len(coefs)):
            coefs[i] /= c
            c *= a
    else: # generate random coefficients, including one non-zero coefficient for a solution
        coefs = [random.uniform(-1., 1.) for _ in range(size - 1)]
        coefs.append(1.)  # set one non-zero coefficient
        if size > 2 and cid % 2 == 0: coefs[1] = 0.
    return coefs,
",4 10 20 20,"    def eval_poly(xs: list, x: float):
        import math
        return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])
    begin = -1.
    end = 1.
    fb = eval_poly(xs, begin)
    fe = eval_poly(xs, end)
    while fb * fe >= 0:
        begin *= 2.0
        end *= 2.0
        fb = eval_poly(xs, begin)
        fe = eval_poly(xs, end)
    while end - begin > 1e-10 and max(abs(fb), abs(fe)) > 1e-6:
        center = (begin + end) / 2.0
        fc = eval_poly(xs, center)
        flag = fc * fb
        if flag > 0:
            begin = center
            fb = fc
        elif flag < 0:
            end = center
            fe = fc
        else:
            return center if fc == 0 else begin
    return begin if abs(fb) < abs(fe) else end
","def __check(input, answer, output):
    import math
    return type(output) in (int, float) and math.fabs(poly(*input, output)) < 1e-4
",find_zero
